#Table1,,,,,,,,,,,,,,
objid,ra,dec,photoz,photozerr,specz,speczerr,proj_sep,umag,umagerr,gmag,gmagerr,rmag,rmagerr,obj_type
1.24E+18,258.12006,64.060761,0.065143,0.012437,0.0734653,2.37E-05,1.927124177,17.3246,0.03335369,14.93716,0.002602796,14.03668,0.002119043,3
1.24E+18,258.12006,64.060761,0.065143,0.012437,0.07343803,1.56E-05,1.927124177,17.3246,0.03335369,14.93716,0.002602796,14.03668,0.002119043,3
1.24E+18,258.11782,64.031104,0.118263,0.020461,0.08687258,2.43E-05,3.702669394,19.85384,0.06186623,17.83365,0.006521916,16.8333,0.004604185,3
1.24E+18,258.11782,64.031104,0.118263,0.020461,0.08687139,2.15E-05,3.702669394,19.85384,0.06186623,17.83365,0.006521916,16.8333,0.004604185,3
1.24E+18,258.13376,64.038556,0.123715,0.030391,0.08280216,2.15E-05,3.244542383,19.54234,0.0586761,17.63774,0.006904202,16.64294,0.004506823,3
1.24E+18,258.18179,64.053546,0.101513,0.016661,0.08562605,1.73E-05,2.714850533,19.58479,0.05082011,17.71295,0.005918154,16.78555,0.004367802,3
1.24E+18,258.15028,64.085551,0.111615,0.031522,0.08279875,3.09E-05,0.690984972,20.88361,0.1044329,18.52987,0.007956354,17.63463,0.005781264,3
1.24E+18,258.15028,64.085551,0.111615,0.031522,0.0827946,2.82E-05,0.690984972,20.88361,0.1044329,18.52987,0.007956354,17.63463,0.005781264,3
1.24E+18,258.08067,64.035634,0.092821,0.014618,0.08261043,2.44E-05,3.65059811,18.7973,0.06324691,16.61937,0.005006138,15.65794,0.003522045,3
1.24E+18,258.08067,64.035634,0.092821,0.014618,0.08268053,1.65E-05,3.65059811,18.7973,0.06324691,16.61937,0.005006138,15.65794,0.003522045,3
1.24E+18,258.10986,64.082134,0.117749,0.01657,0.07945839,2.97E-05,0.812440962,21.05589,0.1178527,18.8184,0.00911441,17.84799,0.006221281,3
1.24E+18,258.10986,64.082134,0.117749,0.01657,0.07948642,2.45E-05,0.812440962,21.05589,0.1178527,18.8184,0.00911441,17.84799,0.006221281,3
1.24E+18,258.13856,64.071678,0.109224,0.016661,0.08442297,2.67E-05,1.278257807,21.5633,0.1513836,19.19833,0.01167746,18.25473,0.007789053,3
1.24E+18,258.22681,63.992408,0.081909,0.008372,0.08285826,1.81E-05,6.532384883,18.14211,0.02870516,16.19026,0.003486607,15.26385,0.002687722,3
1.24E+18,258.22681,63.992408,0.081909,0.008372,0.08291385,1.43E-05,6.532384883,18.14211,0.02870516,16.19026,0.003486607,15.26385,0.002687722,3
1.24E+18,258.24041,64.051036,0.092458,0.021751,0.07399645,2.22E-05,3.831337246,19.97055,0.07911072,18.02808,0.007816929,17.15332,0.005617437,3
1.24E+18,257.92393,64.083086,0.082779,0.008721,0.08339601,1.74E-05,5.420043583,19.14546,0.04879592,17.2721,0.005336051,16.3503,0.003935311,3
1.24E+18,257.9832,63.958064,0.053107,0.021195,0.07388825,1.87E-05,8.939968086,19.10232,0.03980351,17.35489,0.005274473,16.63948,0.004274473,3
1.24E+18,257.95132,64.075248,0.089375,0.0106,0.08734854,3.22E-05,4.787099014,20.16015,0.1049226,18.20453,0.008988603,17.28326,0.006275507,3
1.24E+18,257.95132,64.075248,0.089375,0.0106,0.0873604,2.88E-05,4.787099014,20.16015,0.1049226,18.20453,0.008988603,17.28326,0.006275507,3
1.24E+18,257.99905,63.964991,0.081721,0.011435,0.07830062,3.25E-05,8.388203294,20.19862,0.07902403,18.26552,0.008010388,17.39508,0.005761907,3
1.24E+18,257.99905,63.964991,0.081721,0.011435,0.07821907,2.70E-05,8.388203294,20.19862,0.07902403,18.26552,0.008010388,17.39508,0.005761907,3
1.24E+18,258.00482,63.980452,0.106713,0.020197,0.0827249,2.89E-05,7.482882712,20.67508,0.1070496,18.37747,0.008218632,17.43743,0.005680278,3
1.24E+18,258.00482,63.980452,0.106713,0.020197,0.0827786,2.42E-05,7.482882712,20.67508,0.1070496,18.37747,0.008218632,17.43743,0.005680278,3
1.24E+18,257.99055,64.055714,0.086007,0.009793,0.08345834,2.37E-05,4.263442881,19.55955,0.05116375,17.59653,0.005559822,16.65616,0.004095064,3
1.24E+18,257.99055,64.055714,0.086007,0.009793,0.08354431,2.34E-05,4.263442881,19.55955,0.05116375,17.59653,0.005559822,16.65616,0.004095064,3
1.24E+18,258.0042,64.037866,0.074279,0.008624,0.07503507,1.58E-05,4.647446354,19.43979,0.05098085,17.46256,0.005437127,16.59365,0.004109875,3
1.24E+18,257.99197,64.08917,0.067627,0.008609,0.07971801,1.82E-05,3.611475909,18.85739,0.03455662,16.83767,0.004136099,15.92575,0.003252046,3
1.24E+18,257.99197,64.08917,0.067627,0.008609,0.07968805,1.53E-05,3.611475909,18.85739,0.03455662,16.83767,0.004136099,15.92575,0.003252046,3
